checkpoint,benchmark,alpha,flip_rate,ci_lo,ci_hi,n_eligible
skywork_prm,gsm8k,0.25,0.21159420289855072,0.1681159420289855,0.2579710144927536,345
skywork_prm,gsm8k,0.50,0.16231884057971013,0.1246376811594203,0.20579710144927535,345
skywork_prm,gsm8k,0.75,0.1246376811594203,0.0927536231884058,0.16231884057971013,345
skywork_prm,gsm8k,1.00,0.09565217391304348,0.06666666666666667,0.12753623188405797,345
skywork_prm_1_5b,gsm8k,0.00,0.21951219512195122,0.1798780487804878,0.2652439024390244,328
skywork_prm_1_5b,gsm8k,0.25,0.19207317073170732,0.14939024390243902,0.23780487804878048,328
skywork_prm_1_5b,gsm8k,0.50,0.17073170731707318,0.13109756097560976,0.21036585365853658,328
skywork_prm_1_5b,gsm8k,0.75,0.15548780487804878,0.11890243902439024,0.1951219512195122,328
skywork_prm_1_5b,gsm8k,1.00,0.11585365853658537,0.08231707317073171,0.14939024390243902,328
internlm2_1_8b_reward,math500,0.00,0.312280701754386,0.2596491228070175,0.3684210526315789,285
internlm2_1_8b_reward,math500,0.25,0.28421052631578947,0.23157894736842105,0.3368421052631579,285
internlm2_1_8b_reward,math500,0.50,0.2596491228070175,0.21052631578947367,0.312280701754386,285
internlm2_1_8b_reward,math500,0.75,0.21403508771929824,0.16842105263157894,0.26666666666666666,285
internlm2_1_8b_reward,math500,1.00,0.13333333333333333,0.09824561403508772,0.17543859649122806,285
internlm2_7b_reward,math500,0.00,0.20195439739413681,0.15960912052117263,0.24429967426710097,307
internlm2_7b_reward,math500,0.25,0.15960912052117263,0.12052117263843648,0.20195439739413681,307
internlm2_7b_reward,math500,0.50,0.13355048859934854,0.09771986970684039,0.1758957654723127,307
internlm2_7b_reward,math500,0.75,0.1237785016286645,0.08794788273615635,0.15960912052117263,307
internlm2_7b_reward,math500,1.00,0.09771986970684039,0.06840390879478828,0.13355048859934854,307
math_shepherd,math500,0.00,0.19377162629757785,0.1522491349480969,0.23875432525951557,289
math_shepherd,math500,0.25,0.18339100346020762,0.14186851211072665,0.22837370242214533,289
math_shepherd,math500,0.50,0.1695501730103806,0.12802768166089964,0.21107266435986158,289
math_shepherd,math500,0.75,0.14186851211072665,0.10380622837370242,0.18685121107266436,289
math_shepherd,math500,1.00,0.11072664359861592,0.0726643598615917,0.14878892733564014,289
qwen_prm,math500,0.00,0.08150470219435736,0.05329153605015674,0.11285266457680251,319
qwen_prm,math500,0.25,0.08463949843260188,0.05642633228840126,0.11598746081504702,319
qwen_prm,math500,0.50,0.07523510971786834,0.047021943573667714,0.10658307210031348,319
qwen_prm,math500,0.75,0.06896551724137931,0.0438871473354232,0.09717868338557993,319
qwen_prm,math500,1.00,0.06896551724137931,0.04075235109717868,0.09717868338557993,319
rlhflow_prm,math500,0.00,0.12615384615384614,0.08923076923076922,0.16615384615384615,325
rlhflow_prm,math500,0.25,0.10153846153846154,0.07076923076923076,0.13538461538461538,325
rlhflow_prm,math500,0.50,0.07692307692307693,0.04923076923076923,0.1076923076923077,325
rlhflow_prm,math500,0.75,0.06153846153846154,0.033846153846153845,0.08923076923076922,325
rlhflow_prm,math500,1.00,0.052307692307692305,0.03076923076923077,0.07692307692307693,325
skywork_prm,math500,0.00,0.18309859154929578,0.14084507042253522,0.22887323943661972,284
skywork_prm,math500,0.25,0.17253521126760563,0.13028169014084506,0.21830985915492956,284
skywork_prm,math500,0.50,0.17253521126760563,0.13028169014084506,0.22183098591549297,284
skywork_prm,math500,0.75,0.14788732394366197,0.1056338028169014,0.19014084507042253,284
skywork_prm,math500,1.00,0.09859154929577464,0.06690140845070422,0.14084507042253522,284
skywork_prm_1_5b,math500,0.00,0.21011673151750973,0.16342412451361868,0.25680933852140075,257
skywork_prm_1_5b,math500,0.25,0.19066147859922178,0.14007782101167315,0.23735408560311283,257
skywork_prm_1_5b,math500,0.50,0.16731517509727625,0.11673151750972763,0.2140077821011673,257
skywork_prm_1_5b,math500,0.75,0.1517509727626459,0.11284046692607004,0.19455252918287938,257
skywork_prm_1_5b,math500,1.00,0.08949416342412451,0.058365758754863814,0.1245136186770428,257
