annotator,source_file,row_num,card_id,source_card_id,prm,benchmark,problem_id,assignment,preference_raw,preference_norm,deblind_label,notes
1,annotation_sheet_returned_0.xlsx,24,59d1a320db62,math500_skywork_prm_043,skywork_prm,math500,math500_434,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,25,a55e59e0aab3,math500_skywork_prm_065,skywork_prm,math500,math500_215,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,26,727b90783681,gsm8k_internlm2_7b_reward_017,internlm2_7b_reward,gsm8k,gsm8k_354,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,27,68b1141fe483,gsm8k_internlm2_7b_reward_061,internlm2_7b_reward,gsm8k,gsm8k_107,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,28,30967a05e57f,math500_internlm2_7b_reward_069,internlm2_7b_reward,math500,math500_366,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,29,ae3b9a57ba9e,math500_skywork_prm_063,skywork_prm,math500,math500_301,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,30,4d8f71196b4d,math500_internlm2_7b_reward_053,internlm2_7b_reward,math500,math500_334,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,31,6507c25a99bc,gsm8k_internlm2_7b_reward_064,internlm2_7b_reward,gsm8k,gsm8k_489,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,32,02c10db40f20,math500_skywork_prm_010,skywork_prm,math500,math500_118,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,33,cc5726e0fe8c,gsm8k_skywork_prm_065,skywork_prm,gsm8k,gsm8k_385,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,34,5fa099c70d62,gsm8k_internlm2_7b_reward_056,internlm2_7b_reward,gsm8k,gsm8k_031,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,35,e92541a9b790,math500_internlm2_7b_reward_079,internlm2_7b_reward,math500,math500_397,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,36,0a4b06c33d43,math500_internlm2_7b_reward_064,internlm2_7b_reward,math500,math500_234,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,37,195c8404266f,math500_internlm2_7b_reward_023,internlm2_7b_reward,math500,math500_243,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,38,08ebc5bec50d,math500_skywork_prm_067,skywork_prm,math500,math500_368,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,39,da0dd69948c7,math500_internlm2_7b_reward_086,internlm2_7b_reward,math500,math500_121,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,40,8b3488e3cf4b,gsm8k_skywork_prm_085,skywork_prm,gsm8k,gsm8k_233,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,41,23131037bb61,gsm8k_internlm2_7b_reward_039,internlm2_7b_reward,gsm8k,gsm8k_250,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,42,c8a3c0be29bf,gsm8k_internlm2_7b_reward_035,internlm2_7b_reward,gsm8k,gsm8k_264,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,43,bc11fae4e2ba,gsm8k_internlm2_7b_reward_076,internlm2_7b_reward,gsm8k,gsm8k_456,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,44,7d90908845c4,math500_skywork_prm_064,skywork_prm,math500,math500_026,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,45,5814f6a2aed3,math500_skywork_prm_045,skywork_prm,math500,math500_086,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,46,60d788ee8795,gsm8k_skywork_prm_061,skywork_prm,gsm8k,gsm8k_458,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,47,801c892459d7,math500_skywork_prm_002,skywork_prm,math500,math500_254,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,48,aa512e72df41,gsm8k_skywork_prm_054,skywork_prm,gsm8k,gsm8k_393,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,49,b55a5038f75a,gsm8k_skywork_prm_045,skywork_prm,gsm8k,gsm8k_493,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,50,298ea2e546a1,gsm8k_skywork_prm_021,skywork_prm,gsm8k,gsm8k_388,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,51,338f7581c177,math500_skywork_prm_022,skywork_prm,math500,math500_310,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,52,eef98f801fff,gsm8k_internlm2_7b_reward_005,internlm2_7b_reward,gsm8k,gsm8k_024,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,53,9fdeb3f7d85b,math500_skywork_prm_068,skywork_prm,math500,math500_415,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,54,0d1396a99aa8,gsm8k_skywork_prm_042,skywork_prm,gsm8k,gsm8k_027,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,55,65ec0bce0d20,gsm8k_skywork_prm_034,skywork_prm,gsm8k,gsm8k_280,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,56,0235b7e55b04,gsm8k_internlm2_7b_reward_047,internlm2_7b_reward,gsm8k,gsm8k_046,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,57,ab0aa14b0439,math500_skywork_prm_031,skywork_prm,math500,math500_046,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,58,990ec7fadf1d,gsm8k_internlm2_7b_reward_007,internlm2_7b_reward,gsm8k,gsm8k_013,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,59,5e31b512047a,gsm8k_internlm2_7b_reward_034,internlm2_7b_reward,gsm8k,gsm8k_318,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,60,ffd4bad29048,math500_internlm2_7b_reward_081,internlm2_7b_reward,math500,math500_449,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,61,f550223045e2,math500_internlm2_7b_reward_075,internlm2_7b_reward,math500,math500_087,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,62,e4e81431fcd3,math500_skywork_prm_046,skywork_prm,math500,math500_259,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,63,0dc468dbb6aa,gsm8k_internlm2_7b_reward_043,internlm2_7b_reward,gsm8k,gsm8k_422,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,64,51fafe0c35b0,math500_internlm2_7b_reward_041,internlm2_7b_reward,math500,math500_471,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,65,3fd67f264930,gsm8k_skywork_prm_013,skywork_prm,gsm8k,gsm8k_046,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,66,40d49b8991f2,gsm8k_internlm2_7b_reward_093,internlm2_7b_reward,gsm8k,gsm8k_219,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,67,fa746c447420,math500_skywork_prm_060,skywork_prm,math500,math500_105,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,68,d97571a24bbb,math500_internlm2_7b_reward_013,internlm2_7b_reward,math500,math500_055,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,69,932dedf9ebb8,math500_skywork_prm_050,skywork_prm,math500,math500_234,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,70,477d4668937a,math500_internlm2_7b_reward_039,internlm2_7b_reward,math500,math500_223,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,71,99614891475b,gsm8k_internlm2_7b_reward_058,internlm2_7b_reward,gsm8k,gsm8k_086,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,72,a78bc1193253,gsm8k_internlm2_7b_reward_020,internlm2_7b_reward,gsm8k,gsm8k_121,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,73,1629ea4fd800,math500_internlm2_7b_reward_060,internlm2_7b_reward,math500,math500_448,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,74,e4542cf5c9cc,gsm8k_skywork_prm_086,skywork_prm,gsm8k,gsm8k_170,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,75,2c4a69a71dd4,gsm8k_skywork_prm_009,skywork_prm,gsm8k,gsm8k_397,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,76,9f6e61392251,math500_internlm2_7b_reward_095,internlm2_7b_reward,math500,math500_309,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,77,4e49c019b9ec,gsm8k_skywork_prm_056,skywork_prm,gsm8k,gsm8k_022,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,78,d4c8945551d9,gsm8k_internlm2_7b_reward_014,internlm2_7b_reward,gsm8k,gsm8k_389,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,79,c71cfd5554ab,math500_internlm2_7b_reward_006,internlm2_7b_reward,math500,math500_038,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,80,acf66429f6bc,math500_internlm2_7b_reward_028,internlm2_7b_reward,math500,math500_336,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,81,d01eca5053df,math500_internlm2_7b_reward_078,internlm2_7b_reward,math500,math500_226,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,82,3b20eced41e1,gsm8k_internlm2_7b_reward_002,internlm2_7b_reward,gsm8k,gsm8k_348,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,83,ccb3ac97a880,gsm8k_skywork_prm_008,skywork_prm,gsm8k,gsm8k_198,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,84,1cf349eae04e,gsm8k_internlm2_7b_reward_006,internlm2_7b_reward,gsm8k,gsm8k_431,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,85,c099765b56a2,math500_internlm2_7b_reward_032,internlm2_7b_reward,math500,math500_056,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,86,6891337dc624,math500_internlm2_7b_reward_025,internlm2_7b_reward,math500,math500_335,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,87,64cdff8dd526,gsm8k_skywork_prm_081,skywork_prm,gsm8k,gsm8k_365,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,88,a055f8dc31ca,math500_internlm2_7b_reward_012,internlm2_7b_reward,math500,math500_059,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,89,6f5648236980,gsm8k_skywork_prm_073,skywork_prm,gsm8k,gsm8k_278,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,90,204013c12887,math500_skywork_prm_058,skywork_prm,math500,math500_455,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,91,a76ceb28dc4e,gsm8k_internlm2_7b_reward_019,internlm2_7b_reward,gsm8k,gsm8k_025,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,92,853a65dd7f88,gsm8k_internlm2_7b_reward_082,internlm2_7b_reward,gsm8k,gsm8k_474,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,93,dde4c87fc50a,math500_internlm2_7b_reward_026,internlm2_7b_reward,math500,math500_034,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,94,079e63f9072c,gsm8k_internlm2_7b_reward_046,internlm2_7b_reward,gsm8k,gsm8k_404,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,95,5cec2acb1f36,gsm8k_internlm2_7b_reward_004,internlm2_7b_reward,gsm8k,gsm8k_118,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,96,42de4ca83a1f,gsm8k_internlm2_7b_reward_052,internlm2_7b_reward,gsm8k,gsm8k_097,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,97,fd20ea573003,gsm8k_skywork_prm_069,skywork_prm,gsm8k,gsm8k_475,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,98,de8bb5c383ad,math500_skywork_prm_054,skywork_prm,math500,math500_363,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,99,eb2829a3e225,math500_skywork_prm_001,skywork_prm,math500,math500_304,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,100,145100c57385,math500_skywork_prm_052,skywork_prm,math500,math500_226,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,101,0e2966a96f8f,math500_skywork_prm_070,skywork_prm,math500,math500_379,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,102,831ca0d3e405,gsm8k_internlm2_7b_reward_040,internlm2_7b_reward,gsm8k,gsm8k_116,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,103,2d4a6b05e613,gsm8k_internlm2_7b_reward_055,internlm2_7b_reward,gsm8k,gsm8k_271,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,104,459b41804365,math500_internlm2_7b_reward_088,internlm2_7b_reward,math500,math500_013,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,105,f3e947063a1d,math500_skywork_prm_038,skywork_prm,math500,math500_016,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,106,d404cd86343f,gsm8k_skywork_prm_100,skywork_prm,gsm8k,gsm8k_467,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,107,14db67a05b01,gsm8k_skywork_prm_038,skywork_prm,gsm8k,gsm8k_382,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,108,25364fa9fb91,math500_internlm2_7b_reward_024,internlm2_7b_reward,math500,math500_237,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,109,39283cbc4b2b,math500_skywork_prm_015,skywork_prm,math500,math500_024,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,110,1e0765a6c0df,math500_skywork_prm_004,skywork_prm,math500,math500_262,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,111,18f14679ea50,gsm8k_skywork_prm_035,skywork_prm,gsm8k,gsm8k_473,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,112,253a23c9c2bb,math500_skywork_prm_048,skywork_prm,math500,math500_399,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,113,7ab4391a06ad,math500_skywork_prm_017,skywork_prm,math500,math500_405,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,114,27af93a341ef,math500_skywork_prm_066,skywork_prm,math500,math500_121,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,115,7c8075a57a50,math500_skywork_prm_020,skywork_prm,math500,math500_358,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,116,1af976087535,gsm8k_internlm2_7b_reward_091,internlm2_7b_reward,gsm8k,gsm8k_477,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,117,0cd074a1469f,gsm8k_skywork_prm_016,skywork_prm,gsm8k,gsm8k_459,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,118,2a824851dcf1,math500_skywork_prm_025,skywork_prm,math500,math500_280,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,119,3ee0887027e6,math500_internlm2_7b_reward_090,internlm2_7b_reward,math500,math500_207,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,120,09c62ddb64eb,gsm8k_internlm2_7b_reward_062,internlm2_7b_reward,gsm8k,gsm8k_334,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,121,b65a2542f27e,math500_skywork_prm_006,skywork_prm,math500,math500_475,"product->A,gm->B",A,A,product,
1,annotation_sheet_returned_0.xlsx,122,d177ef91678d,gsm8k_skywork_prm_036,skywork_prm,gsm8k,gsm8k_268,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,123,22832fa842d3,gsm8k_skywork_prm_025,skywork_prm,gsm8k,gsm8k_361,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,124,87377a38dbc2,math500_internlm2_7b_reward_020,internlm2_7b_reward,math500,math500_241,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,125,3a84d3790ef5,math500_internlm2_7b_reward_097,internlm2_7b_reward,math500,math500_151,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,126,aeb9ec0ad787,math500_internlm2_7b_reward_040,internlm2_7b_reward,math500,math500_317,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,127,ee0c7621ff10,gsm8k_internlm2_7b_reward_027,internlm2_7b_reward,gsm8k,gsm8k_213,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,128,3e94a82c1f3c,math500_internlm2_7b_reward_046,internlm2_7b_reward,math500,math500_027,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,129,c2d4706fab0f,gsm8k_skywork_prm_070,skywork_prm,gsm8k,gsm8k_172,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,130,6de0c2e14368,math500_skywork_prm_036,skywork_prm,math500,math500_107,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,131,2b21da93529f,gsm8k_skywork_prm_049,skywork_prm,gsm8k,gsm8k_425,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,132,2d3b58de0989,math500_skywork_prm_008,skywork_prm,math500,math500_404,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,133,56f9d0440194,gsm8k_internlm2_7b_reward_078,internlm2_7b_reward,gsm8k,gsm8k_313,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,134,3771b630c0f4,math500_skywork_prm_072,skywork_prm,math500,math500_005,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,135,dd5ff5cfe7fd,math500_internlm2_7b_reward_017,internlm2_7b_reward,math500,math500_142,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,136,16fff55a12e8,gsm8k_skywork_prm_094,skywork_prm,gsm8k,gsm8k_254,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,137,af509ace1dbc,math500_skywork_prm_012,skywork_prm,math500,math500_396,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,138,86e1923e66ab,gsm8k_internlm2_7b_reward_099,internlm2_7b_reward,gsm8k,gsm8k_350,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,139,03884f35ee30,gsm8k_internlm2_7b_reward_088,internlm2_7b_reward,gsm8k,gsm8k_112,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,140,c9b90e6459b9,math500_internlm2_7b_reward_045,internlm2_7b_reward,math500,math500_037,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,141,20da3912882e,gsm8k_skywork_prm_079,skywork_prm,gsm8k,gsm8k_204,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,142,878f1ca78fcc,math500_internlm2_7b_reward_061,internlm2_7b_reward,math500,math500_330,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,143,c050737d135b,math500_skywork_prm_039,skywork_prm,math500,math500_151,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,144,5fb8ba77941e,math500_skywork_prm_051,skywork_prm,math500,math500_243,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,145,d672e23e67fe,gsm8k_internlm2_7b_reward_026,internlm2_7b_reward,gsm8k,gsm8k_163,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,146,69f4162efe62,math500_internlm2_7b_reward_001,internlm2_7b_reward,math500,math500_046,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,147,92fc7e95eb5e,gsm8k_skywork_prm_041,skywork_prm,gsm8k,gsm8k_211,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,148,92493ba5e5de,math500_skywork_prm_009,skywork_prm,math500,math500_017,"product->A,gm->B",A,A,product,
1,annotation_sheet_returned_0.xlsx,149,f25badf92003,math500_skywork_prm_029,skywork_prm,math500,math500_142,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,150,435e932aef3c,gsm8k_internlm2_7b_reward_060,internlm2_7b_reward,gsm8k,gsm8k_424,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,151,44cff86c1fd5,math500_internlm2_7b_reward_002,internlm2_7b_reward,math500,math500_199,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,152,ea9e7e5f9ca5,gsm8k_skywork_prm_066,skywork_prm,gsm8k,gsm8k_219,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,153,25c211f41e97,math500_internlm2_7b_reward_091,internlm2_7b_reward,math500,math500_005,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,154,c565dbc8212d,gsm8k_skywork_prm_083,skywork_prm,gsm8k,gsm8k_193,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,155,f5aa9f1feeb7,gsm8k_internlm2_7b_reward_023,internlm2_7b_reward,gsm8k,gsm8k_165,"product->A,gm->B",A,A,product,
1,annotation_sheet_returned_0.xlsx,156,c9c0ae612b9f,math500_skywork_prm_024,skywork_prm,math500,math500_474,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,157,09430744a2de,gsm8k_skywork_prm_019,skywork_prm,gsm8k,gsm8k_111,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,158,a70ec4e683d8,gsm8k_skywork_prm_090,skywork_prm,gsm8k,gsm8k_013,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,159,90b78afe3377,math500_internlm2_7b_reward_077,internlm2_7b_reward,math500,math500_134,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,160,a0d102eae822,gsm8k_internlm2_7b_reward_087,internlm2_7b_reward,gsm8k,gsm8k_218,"gm->A,product->B",A,A,gm,
