prm,benchmark,method,n_total_clean,n_attack_base,n_method_eligible,flip_rate,flip_ci_lo,flip_ci_hi,wrong_rate,wrong_ci_lo,wrong_ci_hi,pass_at_1,gain_at_32,random_accuracy
skywork_prm_1_5b,gsm8k,cluster_sum_gm,500,328,314,0.1305732484076433,0.09235668789808917,0.16878980891719744,0.0,0.0,0.0,0.858,0.018,0.84
skywork_prm_1_5b,gsm8k,cluster_majority_weighted_gm,500,328,314,0.1305732484076433,0.09554140127388536,0.16560509554140126,0.0,0.0,0.0,0.858,0.018,0.84
skywork_prm_1_5b,gsm8k,cluster_majority_vote,500,328,314,0.1305732484076433,0.09554140127388536,0.17197452229299362,0.0,0.0,0.0,0.858,0.018,0.84
qwen_prm,gsm8k,product,500,405,401,0.0399002493765586,0.022443890274314215,0.059850374064837904,0.0,0.0,0.0,0.894,0.054,0.84
qwen_prm,gsm8k,gm,500,405,400,0.035,0.0175,0.055,0.0,0.0,0.0,0.894,0.054,0.84
qwen_prm,gsm8k,official,500,405,401,0.0399002493765586,0.022443890274314215,0.057356608478802994,0.0,0.0,0.0,0.894,0.054,0.84
qwen_prm,gsm8k,cluster_sum_gm,500,405,389,0.03598971722365039,0.02056555269922879,0.056555269922879174,0.0,0.0,0.0,0.862,0.022,0.84
qwen_prm,gsm8k,cluster_majority_weighted_gm,500,405,389,0.03598971722365039,0.017994858611825194,0.05398457583547558,0.0,0.0,0.0,0.862,0.022,0.84
qwen_prm,gsm8k,cluster_majority_vote,500,405,388,0.03608247422680412,0.01804123711340206,0.05670103092783505,0.0,0.0,0.0,0.858,0.018,0.84
rlhflow_prm,gsm8k,product,500,390,386,0.046632124352331605,0.025906735751295335,0.06994818652849741,0.0,0.0,0.0,0.852,0.012,0.84
rlhflow_prm,gsm8k,gm,500,390,386,0.02849740932642487,0.015544041450777202,0.046632124352331605,0.0,0.0,0.0,0.856,0.016,0.84
rlhflow_prm,gsm8k,official,500,390,386,0.02849740932642487,0.012953367875647668,0.046632124352331605,0.0,0.0,0.0,0.858,0.018,0.84
rlhflow_prm,gsm8k,cluster_sum_gm,500,390,379,0.0316622691292876,0.0158311345646438,0.05013192612137203,0.0,0.0,0.0,0.858,0.018,0.84
rlhflow_prm,gsm8k,cluster_majority_weighted_gm,500,390,379,0.0316622691292876,0.0158311345646438,0.05013192612137203,0.0,0.0,0.0,0.858,0.018,0.84
rlhflow_prm,gsm8k,cluster_majority_vote,500,390,378,0.031746031746031744,0.015873015873015872,0.05026455026455026,0.0,0.0,0.0,0.856,0.016,0.84
internlm2_7b_reward,gsm8k,product,500,397,367,0.16348773841961853,0.12534059945504086,0.20435967302452315,0.0027247956403269754,0.0,0.008174386920980926,0.828,-0.012,0.84
internlm2_7b_reward,gsm8k,gm,500,397,372,0.06451612903225806,0.043010752688172046,0.09408602150537634,0.0,0.0,0.0,0.84,0.0,0.84
internlm2_7b_reward,gsm8k,official,500,397,397,0.017632241813602016,0.005037783375314861,0.0327455919395466,0.0,0.0,0.0,0.884,0.044,0.84
internlm2_7b_reward,gsm8k,cluster_sum_gm,500,397,375,0.06133333333333333,0.04,0.08533333333333333,0.0,0.0,0.0,0.858,0.018,0.84
internlm2_7b_reward,gsm8k,cluster_majority_weighted_gm,500,397,375,0.06133333333333333,0.04,0.08533333333333333,0.0,0.0,0.0,0.858,0.018,0.84
internlm2_7b_reward,gsm8k,cluster_majority_vote,500,397,375,0.06133333333333333,0.037333333333333336,0.088,0.0,0.0,0.0,0.858,0.018,0.84
internlm2_1_8b_reward,gsm8k,product,500,359,338,0.3431952662721893,0.29289940828402367,0.39349112426035504,0.0,0.0,0.0,0.828,-0.012,0.84
internlm2_1_8b_reward,gsm8k,gm,500,359,341,0.06158357771260997,0.03812316715542522,0.09090909090909091,0.0,0.0,0.0,0.832,-0.008,0.84
internlm2_1_8b_reward,gsm8k,official,500,359,359,0.027855153203342618,0.013927576601671309,0.04735376044568245,0.0,0.0,0.0,0.844,0.004,0.84
internlm2_1_8b_reward,gsm8k,cluster_sum_gm,500,359,350,0.06,0.037142857142857144,0.08857142857142856,0.0,0.0,0.0,0.86,0.02,0.84
internlm2_1_8b_reward,gsm8k,cluster_majority_weighted_gm,500,359,350,0.06,0.037142857142857144,0.08857142857142856,0.0,0.0,0.0,0.86,0.02,0.84
internlm2_1_8b_reward,gsm8k,cluster_majority_vote,500,359,349,0.06017191977077364,0.03724928366762178,0.08882521489971347,0.0,0.0,0.0,0.858,0.018,0.84
math_shepherd,math500,product,500,289,275,0.2,0.15636363636363637,0.24727272727272728,0.0,0.0,0.0,0.684,0.04,0.644
math_shepherd,math500,gm,500,289,280,0.11428571428571428,0.07857142857142857,0.15357142857142858,0.0,0.0,0.0,0.682,0.038,0.644
math_shepherd,math500,official,500,289,289,0.09342560553633218,0.06228373702422145,0.12802768166089964,0.0,0.0,0.0,0.668,0.024,0.644
math_shepherd,math500,cluster_sum_gm,500,289,279,0.1111111111111111,0.07168458781362007,0.15053763440860216,0.0,0.0,0.0,0.714,0.07,0.644
math_shepherd,math500,cluster_majority_weighted_gm,500,289,279,0.1111111111111111,0.07526881720430108,0.14695340501792115,0.0,0.0,0.0,0.714,0.07,0.644
math_shepherd,math500,cluster_majority_vote,500,289,278,0.11151079136690648,0.07553956834532374,0.1510791366906475,0.0,0.0,0.0,0.712,0.068,0.644
skywork_prm,math500,product,500,284,273,0.18315018315018314,0.1391941391941392,0.23443223443223443,0.0,0.0,0.0,0.714,0.07,0.644
skywork_prm,math500,gm,500,284,278,0.09352517985611511,0.06115107913669065,0.13309352517985612,0.0,0.0,0.0,0.742,0.098,0.644
skywork_prm,math500,official,500,284,279,0.0931899641577061,0.06451612903225806,0.12903225806451613,0.0,0.0,0.0,0.744,0.1,0.644
skywork_prm,math500,cluster_sum_gm,500,284,274,0.09124087591240876,0.058394160583941604,0.12408759124087591,0.0,0.0,0.0,0.73,0.086,0.644
skywork_prm,math500,cluster_majority_weighted_gm,500,284,274,0.09124087591240876,0.058394160583941604,0.12773722627737227,0.0,0.0,0.0,0.73,0.086,0.644
skywork_prm,math500,cluster_majority_vote,500,284,268,0.09328358208955224,0.06343283582089553,0.12686567164179105,0.0,0.0,0.0,0.714,0.07,0.644
skywork_prm_1_5b,math500,product,500,257,249,0.21285140562248997,0.1646586345381526,0.26506024096385544,0.0,0.0,0.0,0.69,0.046,0.644
skywork_prm_1_5b,math500,gm,500,257,253,0.09486166007905138,0.05928853754940711,0.13438735177865613,0.0,0.0,0.0,0.716,0.072,0.644
skywork_prm_1_5b,math500,official,500,257,253,0.09486166007905138,0.05928853754940711,0.13438735177865613,0.0,0.0,0.0,0.708,0.064,0.644
skywork_prm_1_5b,math500,cluster_sum_gm,500,257,253,0.09486166007905138,0.06324110671936758,0.13438735177865613,0.0,0.0,0.0,0.72,0.076,0.644
skywork_prm_1_5b,math500,cluster_majority_weighted_gm,500,257,253,0.09486166007905138,0.05928853754940711,0.13438735177865613,0.0,0.0,0.0,0.72,0.076,0.644
skywork_prm_1_5b,math500,cluster_majority_vote,500,257,251,0.09561752988047809,0.05976095617529881,0.13545816733067728,0.0,0.0,0.0,0.712,0.068,0.644
qwen_prm,math500,product,500,319,317,0.08517350157728706,0.05362776025236593,0.11987381703470032,0.0,0.0,0.0,0.744,0.1,0.644
qwen_prm,math500,gm,500,319,316,0.06962025316455696,0.04113924050632911,0.0981012658227848,0.0,0.0,0.0,0.738,0.094,0.644
qwen_prm,math500,official,500,319,317,0.08517350157728706,0.056782334384858045,0.1167192429022082,0.0,0.0,0.0,0.744,0.1,0.644
qwen_prm,math500,cluster_sum_gm,500,319,302,0.0695364238410596,0.04304635761589404,0.09933774834437085,0.0,0.0,0.0,0.722,0.078,0.644
qwen_prm,math500,cluster_majority_weighted_gm,500,319,302,0.0695364238410596,0.04304635761589404,0.09933774834437085,0.0,0.0,0.0,0.722,0.078,0.644
qwen_prm,math500,cluster_majority_vote,500,319,298,0.06375838926174497,0.03691275167785235,0.09395973154362416,0.0,0.0,0.0,0.712,0.068,0.644
rlhflow_prm,math500,product,500,325,306,0.13398692810457516,0.09477124183006536,0.17320261437908496,0.0,0.0,0.0,0.692,0.048,0.644
rlhflow_prm,math500,gm,500,325,308,0.05519480519480519,0.02922077922077922,0.08441558441558442,0.0,0.0,0.0,0.698,0.054,0.644
rlhflow_prm,math500,official,500,325,308,0.05844155844155844,0.03571428571428571,0.08441558441558442,0.0,0.0,0.0,0.696,0.052,0.644
rlhflow_prm,math500,cluster_sum_gm,500,325,307,0.05863192182410423,0.035830618892508145,0.08794788273615635,0.0,0.0,0.0,0.71,0.066,0.644
rlhflow_prm,math500,cluster_majority_weighted_gm,500,325,307,0.05863192182410423,0.03257328990228013,0.08469055374592833,0.0,0.0,0.0,0.71,0.066,0.644
rlhflow_prm,math500,cluster_majority_vote,500,325,307,0.05863192182410423,0.035830618892508145,0.08469055374592833,0.0,0.0,0.0,0.71,0.066,0.644
internlm2_7b_reward,math500,product,500,307,277,0.20577617328519857,0.1624548736462094,0.2527075812274368,0.0,0.0,0.0,0.686,0.042,0.644
internlm2_7b_reward,math500,gm,500,307,279,0.1039426523297491,0.06810035842293907,0.14336917562724014,0.0,0.0,0.0,0.678,0.034,0.644
internlm2_7b_reward,math500,official,500,307,307,0.09446254071661238,0.06514657980456026,0.13029315960912052,0.0,0.0,0.0,0.704,0.06,0.644
internlm2_7b_reward,math500,cluster_sum_gm,500,307,289,0.10380622837370242,0.0726643598615917,0.1453287197231834,0.0,0.0,0.0,0.718,0.074,0.644
internlm2_7b_reward,math500,cluster_majority_weighted_gm,500,307,289,0.10380622837370242,0.06920415224913495,0.1384083044982699,0.0,0.0,0.0,0.718,0.074,0.644
internlm2_7b_reward,math500,cluster_majority_vote,500,307,287,0.10452961672473868,0.07317073170731707,0.13937282229965156,0.0,0.0,0.0,0.714,0.07,0.644
internlm2_1_8b_reward,math500,product,500,285,258,0.3449612403100775,0.2868217054263566,0.4069767441860465,0.0,0.0,0.0,0.678,0.034,0.644
internlm2_1_8b_reward,math500,gm,500,285,267,0.12734082397003746,0.0898876404494382,0.16853932584269662,0.0,0.0,0.0,0.68,0.036,0.644
internlm2_1_8b_reward,math500,official,500,285,285,0.19298245614035087,0.15087719298245614,0.23859649122807017,0.0,0.0,0.0,0.69,0.046,0.644
internlm2_1_8b_reward,math500,cluster_sum_gm,500,285,271,0.12915129151291513,0.09225092250922509,0.16974169741697417,0.0,0.0,0.0,0.716,0.072,0.644
internlm2_1_8b_reward,math500,cluster_majority_weighted_gm,500,285,271,0.12915129151291513,0.09225092250922509,0.17343173431734318,0.0,0.0,0.0,0.716,0.072,0.644
internlm2_1_8b_reward,math500,cluster_majority_vote,500,285,270,0.12962962962962962,0.09259259259259259,0.17407407407407408,0.0,0.0,0.0,0.712,0.068,0.644
