annotator_id,task_group,source,artifact_path,artifact_name,timestamp,timestamp_iso,notes
annotator_3,qwen_forced_choice,unknown,qwen_prm_math500_annotator_3.xlsx,qwen_prm_math500_annotator_3.xlsx,1774421183.4343233,2026-03-25T14:46:23.434323,filesystem mtime audit
unknown,natural_pool,unknown,natural_pool_pairwise_annotation.xlsx,natural_pool_pairwise_annotation.xlsx,1773541233.1655552,2026-03-15T10:20:33.165555,filesystem mtime audit
unknown,human_eval_likert,unknown,completed_annotation_sheet_skywork_prm_gsm8k.xlsx,completed_annotation_sheet_skywork_prm_gsm8k.xlsx,1773646282.873107,2026-03-16T15:31:22.873107,filesystem mtime audit
unknown,human_eval_likert,unknown,annotation_sheet_skywork_prm_gsm8k_completed.xlsx,annotation_sheet_skywork_prm_gsm8k_completed.xlsx,1773646283.2170885,2026-03-16T15:31:23.217088,filesystem mtime audit
unknown,human_eval_likert,unknown,completed_annotation_sheet_skywork_prm_math500.xlsx,completed_annotation_sheet_skywork_prm_math500.xlsx,1773646283.6090672,2026-03-16T15:31:23.609067,filesystem mtime audit
unknown,human_eval_likert,unknown,annotation_sheet_skywork_prm_math500_completed.xlsx,annotation_sheet_skywork_prm_math500_completed.xlsx,1773646283.9610481,2026-03-16T15:31:23.961048,filesystem mtime audit
unknown,human_eval_likert,unknown,completed_annotation_sheet_internlm2_7b_reward_gsm8k.xlsx,completed_annotation_sheet_internlm2_7b_reward_gsm8k.xlsx,1773646284.2650318,2026-03-16T15:31:24.265032,filesystem mtime audit
unknown,human_eval_likert,unknown,annotation_sheet_internlm2_7b_reward_gsm8k_completed.xlsx,annotation_sheet_internlm2_7b_reward_gsm8k_completed.xlsx,1773646284.6570106,2026-03-16T15:31:24.657011,filesystem mtime audit
unknown,human_eval_likert,unknown,completed_annotation_sheet_internlm2_7b_reward_math500.xlsx,completed_annotation_sheet_internlm2_7b_reward_math500.xlsx,1773646285.0129912,2026-03-16T15:31:25.012991,filesystem mtime audit
unknown,human_eval_likert,unknown,annotation_sheet_internlm2_7b_reward_math500_completed.xlsx,annotation_sheet_internlm2_7b_reward_math500_completed.xlsx,1773646285.3129752,2026-03-16T15:31:25.312975,filesystem mtime audit
