method,prm,benchmark,seed,n_nec,n_inert,apr_nec,apr_inert,delta_ni,ci_lo,ci_hi,non_positive,ci_non_positive
multiseed_200,qwen_prm,gsm8k,123,200,200,0.075000,0.415000,-0.340000,-0.415000,-0.260000,1,1
multiseed_200,qwen_prm,gsm8k,456,200,200,0.080000,0.350000,-0.270000,-0.340000,-0.195000,1,1
multiseed_200,qwen_prm,gsm8k,789,200,200,0.105000,0.390000,-0.285000,-0.370000,-0.205000,1,1
multiseed_200,qwen_prm,gsm8k,1024,200,200,0.060000,0.365000,-0.305000,-0.375000,-0.235000,1,1
multiseed_200,rlhflow_prm,gsm8k,42,200,200,0.105000,0.325000,-0.220000,-0.300000,-0.140000,1,1
multiseed_200,rlhflow_prm,gsm8k,123,200,200,0.135000,0.390000,-0.255000,-0.340000,-0.180000,1,1
multiseed_200,rlhflow_prm,gsm8k,456,200,200,0.105000,0.300000,-0.195000,-0.275000,-0.120000,1,1
multiseed_200,rlhflow_prm,gsm8k,789,200,200,0.155000,0.265000,-0.110000,-0.190000,-0.035000,1,1
multiseed_200,rlhflow_prm,gsm8k,1024,200,200,0.100000,0.340000,-0.240000,-0.315000,-0.165000,1,1
multiseed_200,skywork_prm,gsm8k,42,200,200,0.400000,0.790000,-0.390000,-0.475000,-0.295000,1,1
multiseed_200,skywork_prm,gsm8k,123,200,200,0.370000,0.785000,-0.415000,-0.505000,-0.330000,1,1
multiseed_200,skywork_prm,gsm8k,456,200,200,0.340000,0.785000,-0.445000,-0.530000,-0.360000,1,1
multiseed_200,skywork_prm,gsm8k,789,200,200,0.325000,0.775000,-0.450000,-0.540000,-0.360000,1,1
multiseed_200,skywork_prm,gsm8k,1024,200,200,0.380000,0.785000,-0.405000,-0.490000,-0.320000,1,1
multiseed_200,skywork_prm_1_5b,gsm8k,42,200,200,0.390000,0.810000,-0.420000,-0.505000,-0.335000,1,1
multiseed_200,skywork_prm_1_5b,gsm8k,123,200,200,0.370000,0.830000,-0.460000,-0.545000,-0.370000,1,1
multiseed_200,skywork_prm_1_5b,gsm8k,456,200,200,0.340000,0.810000,-0.470000,-0.555000,-0.380000,1,1
multiseed_200,skywork_prm_1_5b,gsm8k,789,200,200,0.410000,0.790000,-0.380000,-0.470000,-0.300000,1,1
multiseed_200,skywork_prm_1_5b,gsm8k,1024,200,200,0.340000,0.840000,-0.500000,-0.580000,-0.420000,1,1
multiseed_200,internlm2_1_8b_reward,math500,42,200,200,0.730000,0.950000,-0.220000,-0.290000,-0.155000,1,1
multiseed_200,internlm2_1_8b_reward,math500,123,200,200,0.770000,0.935000,-0.165000,-0.235000,-0.100000,1,1
multiseed_200,internlm2_1_8b_reward,math500,456,200,200,0.770000,0.950000,-0.180000,-0.245000,-0.110000,1,1
multiseed_200,internlm2_1_8b_reward,math500,789,200,200,0.790000,0.955000,-0.165000,-0.230000,-0.100000,1,1
multiseed_200,internlm2_1_8b_reward,math500,1024,200,200,0.735000,0.940000,-0.205000,-0.280000,-0.145000,1,1
multiseed_200,internlm2_7b_reward,math500,42,200,200,0.555000,0.850000,-0.295000,-0.390000,-0.210000,1,1
multiseed_200,internlm2_7b_reward,math500,123,200,200,0.595000,0.855000,-0.260000,-0.340000,-0.180000,1,1
multiseed_200,internlm2_7b_reward,math500,456,200,200,0.580000,0.850000,-0.270000,-0.355000,-0.185000,1,1
multiseed_200,internlm2_7b_reward,math500,789,200,200,0.595000,0.810000,-0.215000,-0.300000,-0.130000,1,1
multiseed_200,internlm2_7b_reward,math500,1024,200,200,0.560000,0.895000,-0.335000,-0.415000,-0.260000,1,1
multiseed_200,math_shepherd,math500,42,200,200,0.475000,0.735000,-0.260000,-0.350000,-0.160000,1,1
multiseed_200,math_shepherd,math500,123,200,200,0.450000,0.740000,-0.290000,-0.385000,-0.195000,1,1
multiseed_200,math_shepherd,math500,456,200,200,0.410000,0.720000,-0.310000,-0.405000,-0.210000,1,1
multiseed_200,math_shepherd,math500,789,200,200,0.445000,0.700000,-0.255000,-0.345000,-0.165000,1,1
multiseed_200,math_shepherd,math500,1024,200,200,0.435000,0.760000,-0.325000,-0.420000,-0.235000,1,1
multiseed_200,qwen_prm,math500,42,200,200,0.095000,0.315000,-0.220000,-0.295000,-0.145000,1,1
multiseed_200,qwen_prm,math500,123,200,200,0.090000,0.400000,-0.310000,-0.390000,-0.230000,1,1
multiseed_200,qwen_prm,math500,456,200,200,0.105000,0.325000,-0.220000,-0.300000,-0.145000,1,1
multiseed_200,qwen_prm,math500,789,200,200,0.080000,0.390000,-0.310000,-0.385000,-0.235000,1,1
multiseed_200,qwen_prm,math500,1024,200,200,0.080000,0.380000,-0.300000,-0.375000,-0.225000,1,1
multiseed_200,rlhflow_prm,math500,42,200,200,0.245000,0.445000,-0.200000,-0.295000,-0.110000,1,1
multiseed_200,rlhflow_prm,math500,123,200,200,0.215000,0.465000,-0.250000,-0.340000,-0.160000,1,1
multiseed_200,rlhflow_prm,math500,456,200,200,0.245000,0.415000,-0.170000,-0.260000,-0.075000,1,1
multiseed_200,rlhflow_prm,math500,789,200,200,0.235000,0.490000,-0.255000,-0.340000,-0.165000,1,1
multiseed_200,rlhflow_prm,math500,1024,200,200,0.215000,0.485000,-0.270000,-0.355000,-0.175000,1,1
multiseed_200,skywork_prm,math500,42,200,200,0.440000,0.655000,-0.215000,-0.315000,-0.120000,1,1
multiseed_200,skywork_prm,math500,123,200,200,0.435000,0.730000,-0.295000,-0.385000,-0.200000,1,1
multiseed_200,skywork_prm,math500,456,200,200,0.465000,0.670000,-0.205000,-0.290000,-0.110000,1,1
multiseed_200,skywork_prm,math500,789,200,200,0.405000,0.700000,-0.295000,-0.390000,-0.195000,1,1
multiseed_200,skywork_prm,math500,1024,200,200,0.415000,0.755000,-0.340000,-0.430000,-0.255000,1,1
multiseed_200,skywork_prm_1_5b,math500,42,200,200,0.470000,0.820000,-0.350000,-0.435000,-0.260000,1,1
multiseed_200,skywork_prm_1_5b,math500,123,200,200,0.435000,0.795000,-0.360000,-0.450000,-0.270000,1,1
multiseed_200,skywork_prm_1_5b,math500,456,200,200,0.430000,0.800000,-0.370000,-0.460000,-0.285000,1,1
multiseed_200,skywork_prm_1_5b,math500,789,200,200,0.470000,0.775000,-0.305000,-0.385000,-0.215000,1,1
multiseed_200,skywork_prm_1_5b,math500,1024,200,200,0.430000,0.830000,-0.400000,-0.485000,-0.315000,1,1
