prm,benchmark,subset,bin,n_cards,dimension,mean_delta,ci_lo,ci_hi,mean_step_delta,bin_scheme
skywork_prm,gsm8k,both_correct,large_delta,24,supervision,-0.145833,-0.354167,0.020833,-6.208333,small_medium_large
skywork_prm,math500,full_sample,small_delta,26,completeness,-1.000000,-1.154327,-0.846154,-1.000000,small_medium_large
skywork_prm,math500,full_sample,small_delta,26,auditability,-0.980769,-1.153846,-0.788462,-1.000000,small_medium_large
skywork_prm,math500,full_sample,small_delta,26,coherence,-0.923077,-1.115385,-0.750000,-1.000000,small_medium_large
skywork_prm,math500,full_sample,small_delta,26,supervision,-1.038462,-1.192308,-0.884615,-1.000000,small_medium_large
skywork_prm,math500,full_sample,medium_delta,12,completeness,-0.708333,-0.875000,-0.500000,-2.500000,small_medium_large
skywork_prm,math500,full_sample,medium_delta,12,auditability,-0.583333,-0.791667,-0.333333,-2.500000,small_medium_large
skywork_prm,math500,full_sample,medium_delta,12,coherence,-0.791667,-1.000000,-0.583333,-2.500000,small_medium_large
skywork_prm,math500,full_sample,medium_delta,12,supervision,-0.416667,-0.625000,-0.208333,-2.500000,small_medium_large
skywork_prm,math500,full_sample,large_delta,35,completeness,-0.871429,-1.057143,-0.671429,-9.114286,small_medium_large
skywork_prm,math500,full_sample,large_delta,35,auditability,-0.628571,-0.800000,-0.442857,-9.114286,small_medium_large
skywork_prm,math500,full_sample,large_delta,35,coherence,-1.100000,-1.271429,-0.900000,-9.114286,small_medium_large
skywork_prm,math500,full_sample,large_delta,35,supervision,-0.442857,-0.642857,-0.257143,-9.114286,small_medium_large
skywork_prm,math500,both_correct,small_delta,26,completeness,-1.000000,-1.154327,-0.846154,-1.000000,small_medium_large
skywork_prm,math500,both_correct,small_delta,26,auditability,-0.980769,-1.153846,-0.788462,-1.000000,small_medium_large
skywork_prm,math500,both_correct,small_delta,26,coherence,-0.923077,-1.115385,-0.750000,-1.000000,small_medium_large
skywork_prm,math500,both_correct,small_delta,26,supervision,-1.038462,-1.192308,-0.884615,-1.000000,small_medium_large
skywork_prm,math500,both_correct,medium_delta,12,completeness,-0.708333,-0.875000,-0.500000,-2.500000,small_medium_large
skywork_prm,math500,both_correct,medium_delta,12,auditability,-0.583333,-0.791667,-0.333333,-2.500000,small_medium_large
skywork_prm,math500,both_correct,medium_delta,12,coherence,-0.791667,-1.000000,-0.583333,-2.500000,small_medium_large
skywork_prm,math500,both_correct,medium_delta,12,supervision,-0.416667,-0.625000,-0.208333,-2.500000,small_medium_large
skywork_prm,math500,both_correct,large_delta,33,completeness,-0.878788,-1.075758,-0.681818,-9.212121,small_medium_large
skywork_prm,math500,both_correct,large_delta,33,auditability,-0.621212,-0.803030,-0.409091,-9.212121,small_medium_large
skywork_prm,math500,both_correct,large_delta,33,coherence,-1.106061,-1.287879,-0.893939,-9.212121,small_medium_large
skywork_prm,math500,both_correct,large_delta,33,supervision,-0.424242,-0.651515,-0.212121,-9.212121,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,small_delta,53,completeness,-1.103774,-1.236085,-0.981132,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,small_delta,53,auditability,-1.028302,-1.160613,-0.886792,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,small_delta,53,coherence,-1.056604,-1.198113,-0.915094,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,small_delta,53,supervision,-1.094340,-1.226415,-0.952830,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,medium_delta,33,completeness,-0.848485,-1.030682,-0.666667,-2.393939,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,medium_delta,33,auditability,-0.621212,-0.803030,-0.439394,-2.393939,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,medium_delta,33,coherence,-0.772727,-1.000379,-0.515152,-2.393939,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,medium_delta,33,supervision,-0.666667,-0.939394,-0.378409,-2.393939,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,large_delta,14,completeness,-0.964286,-1.178571,-0.714286,-5.214286,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,large_delta,14,auditability,-0.607143,-0.892857,-0.392857,-5.214286,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,large_delta,14,coherence,-0.750000,-1.214286,-0.107143,-5.214286,small_medium_large
internlm2_7b_reward,gsm8k,full_sample,large_delta,14,supervision,-0.107143,-0.500000,0.358036,-5.214286,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,small_delta,53,completeness,-1.103774,-1.236085,-0.981132,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,small_delta,53,auditability,-1.028302,-1.160613,-0.886792,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,small_delta,53,coherence,-1.056604,-1.198113,-0.915094,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,small_delta,53,supervision,-1.094340,-1.226415,-0.952830,-1.000000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,medium_delta,32,completeness,-0.859375,-1.062500,-0.656250,-2.375000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,medium_delta,32,auditability,-0.625000,-0.812500,-0.453125,-2.375000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,medium_delta,32,coherence,-0.875000,-1.046875,-0.718750,-2.375000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,medium_delta,32,supervision,-0.781250,-0.984375,-0.578125,-2.375000,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,large_delta,13,completeness,-1.038462,-1.230769,-0.846154,-5.153846,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,large_delta,13,auditability,-0.653846,-0.961538,-0.461538,-5.153846,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,large_delta,13,coherence,-1.038462,-1.269231,-0.846154,-5.153846,small_medium_large
internlm2_7b_reward,gsm8k,both_correct,large_delta,13,supervision,-0.307692,-0.538462,-0.076923,-5.153846,small_medium_large
internlm2_7b_reward,math500,full_sample,small_delta,52,completeness,-1.134615,-1.288462,-0.980529,-1.000000,small_medium_large
internlm2_7b_reward,math500,full_sample,small_delta,52,auditability,-1.067308,-1.211538,-0.913462,-1.000000,small_medium_large
internlm2_7b_reward,math500,full_sample,small_delta,52,coherence,-1.067308,-1.221154,-0.903846,-1.000000,small_medium_large
internlm2_7b_reward,math500,full_sample,small_delta,52,supervision,-1.115385,-1.269231,-0.970913,-1.000000,small_medium_large
internlm2_7b_reward,math500,full_sample,medium_delta,20,completeness,-0.925000,-1.075000,-0.750000,-2.450000,small_medium_large
internlm2_7b_reward,math500,full_sample,medium_delta,20,auditability,-0.750000,-0.925000,-0.575000,-2.450000,small_medium_large
internlm2_7b_reward,math500,full_sample,medium_delta,20,coherence,-0.925000,-1.275000,-0.675000,-2.450000,small_medium_large
internlm2_7b_reward,math500,full_sample,medium_delta,20,supervision,-0.725000,-1.050000,-0.449375,-2.450000,small_medium_large
internlm2_7b_reward,math500,full_sample,large_delta,28,completeness,-0.839286,-1.000446,-0.678571,-7.785714,small_medium_large
internlm2_7b_reward,math500,full_sample,large_delta,28,auditability,-0.642857,-0.821429,-0.464286,-7.785714,small_medium_large
internlm2_7b_reward,math500,full_sample,large_delta,28,coherence,-0.857143,-1.142857,-0.499554,-7.785714,small_medium_large
internlm2_7b_reward,math500,full_sample,large_delta,28,supervision,-0.267857,-0.571429,0.071429,-7.785714,small_medium_large
internlm2_7b_reward,math500,both_correct,small_delta,52,completeness,-1.134615,-1.288462,-0.980529,-1.000000,small_medium_large
internlm2_7b_reward,math500,both_correct,small_delta,52,auditability,-1.067308,-1.211538,-0.913462,-1.000000,small_medium_large
internlm2_7b_reward,math500,both_correct,small_delta,52,coherence,-1.067308,-1.221154,-0.903846,-1.000000,small_medium_large
internlm2_7b_reward,math500,both_correct,small_delta,52,supervision,-1.115385,-1.269231,-0.970913,-1.000000,small_medium_large
internlm2_7b_reward,math500,both_correct,medium_delta,18,completeness,-0.861111,-1.000000,-0.694444,-2.444444,small_medium_large
internlm2_7b_reward,math500,both_correct,medium_delta,18,auditability,-0.666667,-0.833333,-0.527778,-2.444444,small_medium_large
internlm2_7b_reward,math500,both_correct,medium_delta,18,coherence,-0.722222,-0.833333,-0.611111,-2.444444,small_medium_large
internlm2_7b_reward,math500,both_correct,medium_delta,18,supervision,-0.555556,-0.750000,-0.361111,-2.444444,small_medium_large
internlm2_7b_reward,math500,both_correct,large_delta,26,completeness,-0.846154,-1.019231,-0.673077,-7.576923,small_medium_large
internlm2_7b_reward,math500,both_correct,large_delta,26,auditability,-0.634615,-0.827404,-0.461538,-7.576923,small_medium_large
internlm2_7b_reward,math500,both_correct,large_delta,26,coherence,-1.057692,-1.230769,-0.884615,-7.576923,small_medium_large
internlm2_7b_reward,math500,both_correct,large_delta,26,supervision,-0.423077,-0.692308,-0.173077,-7.576923,small_medium_large
